Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Mantes Dr, Cocoa, FL 32926","$212,160",Estimated Market Value,$1141/m,Single-Family,3,1,1817, 97%,https://www.foreclosure.com/address/Mantes-Dr-Cocoa-FL-32926/60727645_lid
"Lakeville Rd, Apopka, FL 32703","$817,284",Estimated Market Value,$2030/m,Single-Family,5,3,4876, 116%,https://www.foreclosure.com/address/Lakeville-Rd-Apopka-FL-32703/60727731_lid
"Daniels Ave Sw, Palm Bay, FL 32908","$266,069",Estimated Market Value,$1370/m,Single-Family,3,2,1872, 112%,https://www.foreclosure.com/address/Daniels-Ave-Sw-Palm-Bay-FL-32908/60727756_lid
"Kimberly Blvd Apt 102d, North Lauderdale, FL 33068","$181,763",Estimated Market Value,$1530/m,Condo,3,2,1150, 113%,https://www.foreclosure.com/address/Kimberly-Blvd-Apt-102d-North-Lauderdale-FL-33068/60727760_lid
"Valerius St Se, Palm Bay, FL 32909","$235,004",Estimated Market Value,$940/m,Single-Family,2,1,1248, 114%,https://www.foreclosure.com/address/Valerius-St-Se-Palm-Bay-FL-32909/60727774_lid
"Oakleaf Plantation Pkw..., Orange Park, FL 32065","$182,672",Estimated Market Value,$940/m,Condo,1,1,992, 123%,https://www.foreclosure.com/address/Oakleaf-Plantation-Pkwy-Unit-806-Orange-Park-FL-32065/60727955_lid
"Beechwood Dr, Pensacola, FL 32514","$273,541",Estimated Market Value,$1090/m,Single-Family,N/A,2,1394, 107%,https://www.foreclosure.com/address/Beechwood-Dr-Pensacola-FL-32514/60727981_lid
"Bay Vista Estates Blvd, Orlando, FL 32836",N/A,N/A,N/A,Single-Family,3,2,2689,N/A,https://www.foreclosure.com/address/Bay-Vista-Estates-Blvd-Orlando-FL-32836/60728010_lid
"Nw 1st Way, Pompano Beach, FL 33060","$455,796",Estimated Market Value,$1600/m,Single-Family,3,2,1918, 104%,https://www.foreclosure.com/address/Nw-1st-Way-Pompano-Beach-FL-33060/60728066_lid
"Abalone Rd Nw, Palm Bay, FL 32907","$403,564",Estimated Market Value,$1620/m,Single-Family,4,2,2911, 99%,https://www.foreclosure.com/address/Abalone-Rd-Nw-Palm-Bay-FL-32907/60728063_lid
"Bonfire Beach Dr Apt 202, Kissimmee, FL 34746","$274,607",Estimated Market Value,$1301/m,Condo,2,2,1271, 112%,https://www.foreclosure.com/address/Bonfire-Beach-Dr-Apt-202-Kissimmee-FL-34746/60728086_lid
"Maggiore Cir, Kissimmee, FL 34746","$474,222",Estimated Market Value,$2210/m,Single-Family,5,3,2633, 101%,https://www.foreclosure.com/address/Maggiore-Cir-Kissimmee-FL-34746/60728072_lid
"Salton St, Holiday, FL 34691","$278,001",Estimated Market Value,$1110/m,Single-Family,2,1,1254, 96%,https://www.foreclosure.com/address/Salton-St-Holiday-FL-34691/60728144_lid
"Nw 6th Ct, Lauderhill, FL 33311",N/A,N/A,N/A,Single-Family,3,2,1242,N/A,https://www.foreclosure.com/address/Nw-6th-Ct-Lauderhill-FL-33311/60728168_lid
"Sw 18th St Apt 215, Miami, FL 33175",N/A,N/A,N/A,Condo,2,2,898,N/A,https://www.foreclosure.com/address/Sw-18th-St-Apt-215-Miami-FL-33175/60727151_lid
"Av, Sebastian, FL 32958",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Av-Sebastian-FL-32958/60725653_lid
"Nw 54th St, Miami, FL 33127","$518,160",Estimated Market Value,$1470/m,N/A,N/A,N/A,N/A, 103%,https://www.foreclosure.com/address/Nw-54th-St-Miami-FL-33127/60726562_lid
"Sw 122nd Ave, Miami, FL 33175","$3,360,919",Estimated Market Value,$5170/m,N/A,N/A,N/A,N/A, 103%,https://www.foreclosure.com/address/Sw-122nd-Ave-Miami-FL-33175/60726563_lid
"Nw 33rd Ave, Miami Gardens, FL 33056","$689,931",Estimated Market Value,$1760/m,Single-Family,3,1,1994, 106%,https://www.foreclosure.com/address/Nw-33rd-Ave-Miami-Gardens-FL-33056/60726564_lid
"W 76th St, Hialeah, FL 33014","$596,624",Estimated Market Value,$2180/m,Single-Family,3,2,2165, 109%,https://www.foreclosure.com/address/W-76th-St-Hialeah-FL-33014/60726565_lid
"Nw 40th St, Miami, FL 33142","$272,960",Estimated Market Value,$1420/m,Single-Family,2,1,1318, 103%,https://www.foreclosure.com/address/Nw-40th-St-Miami-FL-33142/60726566_lid
"Sw 16th St, Miami, FL 33145","$669,036",Estimated Market Value,$1960/m,Multi-Family,3,2,1247, 124%,https://www.foreclosure.com/address/Sw-16th-St-Miami-FL-33145/60726567_lid
"Sw 152nd Ave, Homestead, FL 33033","$454,211",Estimated Market Value,$1480/m,Single-Family,4,2,N/A, 105%,https://www.foreclosure.com/address/Sw-152nd-Ave-Homestead-FL-33033/60726569_lid
"Sw 61st St, Miami, FL 33143","$689,319",Estimated Market Value,$2440/m,N/A,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Sw-61st-St-Miami-FL-33143/60726570_lid
"Ne 5th Ave, Miami, FL 33138","$962,081",Estimated Market Value,$2580/m,N/A,N/A,N/A,N/A, 116%,https://www.foreclosure.com/address/Ne-5th-Ave-Miami-FL-33138/60726571_lid
"Sw 139th Ct, Homestead, FL 33033","$260,974",Estimated Market Value,$1171/m,N/A,N/A,N/A,N/A, 116%,https://www.foreclosure.com/address/Sw-139th-Ct-Homestead-FL-33033/60726572_lid
"Sw 45th St, Miami, FL 33165","$673,728",Estimated Market Value,$2280/m,Single-Family,3,1,N/A, 109%,https://www.foreclosure.com/address/Sw-45th-St-Miami-FL-33165/60726573_lid
"Nw 112th St, Miami, FL 33168","$360,161",Estimated Market Value,$1590/m,N/A,N/A,N/A,N/A, 105%,https://www.foreclosure.com/address/Nw-112th-St-Miami-FL-33168/60726574_lid
"Nw 14th St, Homestead, FL 33034",N/A,N/A,N/A,Single-Family,2,1,917,N/A,https://www.foreclosure.com/address/Nw-14th-St-Homestead-FL-33034/60726575_lid
"Ne 34th Ct Apt 2012, Aventura, FL 33180",N/A,N/A,N/A,Condo,2,2,N/A,N/A,https://www.foreclosure.com/address/Ne-34th-Ct-Apt-2012-Aventura-FL-33180/60726576_lid
"Elm St, Lady Lake, FL 32159","$228,338",Estimated Market Value,$1420/m,Single-Family,3,2,1082, 120%,https://www.foreclosure.com/address/Elm-St-Lady-Lake-FL-32159/60726697_lid
"Ocala Ave, Fort Pierce, FL 34951","$288,584",Estimated Market Value,$1160/m,N/A,4,2,N/A, 99%,https://www.foreclosure.com/address/Ocala-Ave-Fort-Pierce-FL-34951/60726734_lid
"Lockwood Lake Cir, Sarasota, FL 34234","$358,997",Estimated Market Value,$1430/m,N/A,2,2,N/A, 114%,https://www.foreclosure.com/address/Lockwood-Lake-Cir-Sarasota-FL-34234/60726770_lid
"Nw 30th St, Okeechobee, FL 34972",N/A,N/A,N/A,Agricultural,N/A,N/A,1040,N/A,https://www.foreclosure.com/address/Nw-30th-St-Okeechobee-FL-34972/60726932_lid
"Willowbrook Ln Apt 207, Delray Beach, FL 33446","$178,656",Estimated Market Value,$1230/m,Condo,2,2,1005, 94%,https://www.foreclosure.com/address/Willowbrook-Ln-Apt-207-Delray-Beach-FL-33446/60726934_lid
"Nw 2nd St, Fort Lauderdale, FL 33311","$700,111",Estimated Market Value,N/A,N/A,N/A,N/A,N/A, 104%,https://www.foreclosure.com/address/Nw-2nd-St-Fort-Lauderdale-FL-33311/60728466_lid
"Big Black Ln, Poinciana, FL 34759",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Big-Black-Ln-Poinciana-FL-34759/60728468_lid
"Baltic St, Jacksonville, FL 32210","$383,669",Estimated Market Value,$1281/m,Single-Family,2,1.5,1266, 95%,https://www.foreclosure.com/address/Baltic-St-Jacksonville-FL-32210/60720687_lid
"Rowe Ave, Jacksonville, FL 32208","$259,919",Estimated Market Value,$1378/m,Single-Family,3,1.5,3196, 122%,https://www.foreclosure.com/address/Rowe-Ave-Jacksonville-FL-32208/60720783_lid
"Appleton Ave, Jacksonville, FL 32210","$169,071",Estimated Market Value,$1010/m,Single-Family,3,2,856, 129%,https://www.foreclosure.com/address/Appleton-Ave-Jacksonville-FL-32210/60723076_lid
"Wightman Ave, Sebring, FL 33870","$162,545",Estimated Market Value,$820/m,Single-Family,2,1,1026, 99%,https://www.foreclosure.com/address/Wightman-Ave-Sebring-FL-33870/60723091_lid
"Sw 258th Ln, Homestead, FL 33032","$424,535",Estimated Market Value,$1440/m,Single-Family,3,2,1164, 117%,https://www.foreclosure.com/address/Sw-258th-Ln-Homestead-FL-33032/60723100_lid
"W Vinita Rd, Avon Park, FL 33825","$215,208",Estimated Market Value,$1072/m,Single-Family,3,2,1345, 106%,https://www.foreclosure.com/address/W-Vinita-Rd-Avon-Park-FL-33825/60723103_lid
"Nw 14th Pl, Lauderhill, FL 33311",N/A,N/A,N/A,Single-Family,3,1,1147,N/A,https://www.foreclosure.com/address/Nw-14th-Pl-Lauderhill-FL-33311/60723112_lid
"Cedora Ter, Sebring, FL 33870","$333,396",Estimated Market Value,$1171/m,Single-Family,3,2,1906, 145%,https://www.foreclosure.com/address/Cedora-Ter-Sebring-FL-33870/60723138_lid
"Western Blvd, Lake Placid, FL 33852","$631,295",Estimated Market Value,$1970/m,Single-Family,4,4,3902, 119%,https://www.foreclosure.com/address/Western-Blvd-Lake-Placid-FL-33852/60723135_lid
"Sw 128th Psge, Miami, FL 33186",N/A,N/A,N/A,Townhome,3,3,1670,N/A,https://www.foreclosure.com/address/Sw-128th-Psge-Miami-FL-33186/60723140_lid
"Nw 38th Ave, Lauderhill, FL 33311",N/A,N/A,N/A,Single-Family,3,2,1453,N/A,https://www.foreclosure.com/address/Nw-38th-Ave-Lauderhill-FL-33311/60723142_lid
"Nw 197th St, Miami Gardens, FL 33169",N/A,N/A,N/A,Single-Family,3,2,1388,N/A,https://www.foreclosure.com/address/Nw-197th-St-Miami-Gardens-FL-33169/60723141_lid
"Michael Dr, Beverly Hills, FL 34465","$222,143",Estimated Market Value,$1010/m,Single-Family,2,2,1446, 109%,https://www.foreclosure.com/address/Michael-Dr-Beverly-Hills-FL-34465/60723159_lid
"W 81st St Apt 324, Hialeah, FL 33014","$176,152",Estimated Market Value,$1092/m,Condo,1,1,600, 116%,https://www.foreclosure.com/address/W-81st-St-Apt-324-Hialeah-FL-33014/60723171_lid
"Expedition Ave, Sebring, FL 33875","$111,775",Estimated Market Value,N/A,Mobile,3,2,1144, 102%,https://www.foreclosure.com/address/Expedition-Ave-Sebring-FL-33875/60723212_lid
"Jackson Heights Dr, Sebring, FL 33870","$293,804",Estimated Market Value,$1271/m,Single-Family,3,2,1721, 114%,https://www.foreclosure.com/address/Jackson-Heights-Dr-Sebring-FL-33870/60723224_lid
"Van Wyck Ter, Port Charlotte, FL 33981","$441,440",Estimated Market Value,$2040/m,Single-Family,4,2,2327, 104%,https://www.foreclosure.com/address/Van-Wyck-Ter-Port-Charlotte-FL-33981/60723230_lid
"Collins Ave # 2502, Sunny Isles Beach, FL 33160",N/A,N/A,N/A,Condo,3,5,2589,N/A,https://www.foreclosure.com/address/Collins-Ave--2502-Sunny-Isles-Beach-FL-33160/60723246_lid
"Richland Ln, Palm Coast, FL 32164","$352,897",Estimated Market Value,$1390/m,Single-Family,4,2,1797, 102%,https://www.foreclosure.com/address/Richland-Ln-Palm-Coast-FL-32164/60723250_lid
"Crimson Ct, Plant City, FL 33566","$266,854",Estimated Market Value,$1102/m,Single-Family,3,2,1290, 97%,https://www.foreclosure.com/address/Crimson-Ct-Plant-City-FL-33566/60723253_lid
"Quail Ave, Sebring, FL 33870","$178,458",Estimated Market Value,$940/m,Single-Family,2,2,1110, 96%,https://www.foreclosure.com/address/Quail-Ave-Sebring-FL-33870/60723255_lid
"Fairfield Ave, Lake Placid, FL 33852","$131,765",Estimated Market Value,$810/m,Single-Family,2,1,928, 97%,https://www.foreclosure.com/address/Fairfield-Ave-Lake-Placid-FL-33852/60723263_lid
"Zureiq Ct, Clermont, FL 34714","$410,914",Estimated Market Value,$1410/m,Single-Family,4,3,1814, 108%,https://www.foreclosure.com/address/Zureiq-Ct-Clermont-FL-34714/60723268_lid
"Penton St, Jacksonville, FL 32209","$84,740",Estimated Market Value,$850/m,Single-Family,3,1,1212, 125%,https://www.foreclosure.com/address/Penton-St-Jacksonville-FL-32209/60723269_lid
"Nw 63rd Pl, Hialeah, FL 33015","$629,454",Estimated Market Value,$2480/m,Single-Family,3,2,1970, 110%,https://www.foreclosure.com/address/Nw-63rd-Pl-Hialeah-FL-33015/60723271_lid
"Nw 113th Way, Parkland, FL 33076","$1,856,745",Estimated Market Value,$5990/m,Single-Family,6,5,4651, 126%,https://www.foreclosure.com/address/Nw-113th-Way-Parkland-FL-33076/60723272_lid
"Ne 5th Ct, North Miami Beach, FL 33179","$417,487",Estimated Market Value,$1790/m,Townhome,3,2,1525, 108%,https://www.foreclosure.com/address/Ne-5th-Ct-North-Miami-Beach-FL-33179/60723280_lid
"Nw 107th Ave Apt 205, Miami, FL 33172","$322,224",Estimated Market Value,$1550/m,Condo,2,2,1050, 128%,https://www.foreclosure.com/address/Nw-107th-Ave-Apt-205-Miami-FL-33172/60723381_lid
"Orange Blvd, Sebring, FL 33870","$40,800",Estimated Market Value,N/A,Mobile,3,2,720, 100%,https://www.foreclosure.com/address/Orange-Blvd-Sebring-FL-33870/60723418_lid
"Ashton Dr, Sebring, FL 33876","$286,752",Estimated Market Value,$1201/m,Single-Family,3,2,1616, 132%,https://www.foreclosure.com/address/Ashton-Dr-Sebring-FL-33876/60723423_lid
"Moultrie Creek Cir, Saint Augustine, FL 32086","$252,879",Estimated Market Value,$1181/m,Townhome,2,1,1078, 100%,https://www.foreclosure.com/address/Moultrie-Creek-Cir-Saint-Augustine-FL-32086/60723435_lid
"W Ruth St, Avon Park, FL 33825","$110,688",Estimated Market Value,$970/m,Single-Family,3,1,1102, 96%,https://www.foreclosure.com/address/W-Ruth-St-Avon-Park-FL-33825/60723437_lid
"Sw 117th Ave Apt 7-404, Miami, FL 33175",N/A,N/A,N/A,Condo,2,2,982,N/A,https://www.foreclosure.com/address/Sw-117th-Ave-Apt-7-404-Miami-FL-33175/60723483_lid
"West Dr Apt 510, North Bay Village, FL 33141","$328,640",Estimated Market Value,$1690/m,Condo,1,1,760, 143%,https://www.foreclosure.com/address/West-Dr-Apt-510-North-Bay-Village-FL-33141/60723482_lid
"Sw 117th Ave Apt 10-110, Miami, FL 33175",N/A,N/A,N/A,Condo,1,1,760,N/A,https://www.foreclosure.com/address/Sw-117th-Ave-Apt-10-110-Miami-FL-33175/60723515_lid
"Hartwell Ter, Jacksonville, FL 32225","$406,699",Estimated Market Value,$1610/m,Single-Family,3,2,1737, 99%,https://www.foreclosure.com/address/Hartwell-Ter-Jacksonville-FL-32225/60723516_lid
"Three Islands Blvd Apt..., Hallandale Beach, FL 33009","$379,553",Estimated Market Value,$1830/m,Condo,2,2,1400, 121%,https://www.foreclosure.com/address/Three-Islands-Blvd-Apt-508-Hallandale-Beach-FL-33009/60723526_lid
"Bartram Village Dr, Jacksonville, FL 32258","$380,654",Estimated Market Value,$1680/m,Townhome,3,2,1846, 104%,https://www.foreclosure.com/address/Bartram-Village-Dr-Jacksonville-FL-32258/60723544_lid
"Nw 28th Pl, Miami Gardens, FL 33054",N/A,N/A,N/A,Single-Family,4,2,1200,N/A,https://www.foreclosure.com/address/Nw-28th-Pl-Miami-Gardens-FL-33054/60723547_lid
"Quesada Ave Apt O107, Port Charlotte, FL 33948",N/A,N/A,N/A,Condo,1,1,689,N/A,https://www.foreclosure.com/address/Quesada-Ave-Apt-O107-Port-Charlotte-FL-33948/60723629_lid
"Ponte Vedra Blvd, Ponte Vedra Beach, FL 32082","$7,831,489",Estimated Market Value,$5440/m,Single-Family,5,6,11000, 99%,https://www.foreclosure.com/address/Ponte-Vedra-Blvd-Ponte-Vedra-Beach-FL-32082/60723637_lid
"Brickell Key Blvd Apt ..., Miami, FL 33131","$1,107,545",Estimated Market Value,$4070/m,Condo,3,3,1493, 113%,https://www.foreclosure.com/address/Brickell-Key-Blvd-Apt-1704-Miami-FL-33131/60723644_lid
"Country Club Prado, Coral Gables, FL 33134","$2,096,736",Estimated Market Value,$3980/m,Single-Family,4,3,3046, 112%,https://www.foreclosure.com/address/Country-Club-Prado-Coral-Gables-FL-33134/60723647_lid
"Josephine Ct, Sebring, FL 33875","$332,404",Estimated Market Value,$1410/m,Single-Family,3,2,1919, 115%,https://www.foreclosure.com/address/Josephine-Ct-Sebring-FL-33875/60723652_lid
"Brickell Bay Dr Apt 506, Miami, FL 33131","$269,349",Estimated Market Value,N/A,Co-Op,1,1,750, 134%,https://www.foreclosure.com/address/Brickell-Bay-Dr-Apt-506-Miami-FL-33131/60723650_lid
"Golf Villas Ct Nw, Lake Placid, FL 33852",N/A,N/A,N/A,Co-Op,1,1,406,N/A,https://www.foreclosure.com/address/Golf-Villas-Ct-Nw-Lake-Placid-FL-33852/60723664_lid
"Ne 37th Ter, Homestead, FL 33033","$351,252",Estimated Market Value,N/A,Single-Family,4,3,1768, 111%,https://www.foreclosure.com/address/Ne-37th-Ter-Homestead-FL-33033/60723677_lid
"N Huntington Rd, Avon Park, FL 33825","$281,260",Estimated Market Value,$1191/m,Single-Family,3,3,1822, 109%,https://www.foreclosure.com/address/N-Huntington-Rd-Avon-Park-FL-33825/60723696_lid
"Cambridge F, Deerfield Beach, FL 33442","$174,912",Estimated Market Value,$1600/m,Condo,2,1,839, 98%,https://www.foreclosure.com/address/Cambridge-F-Deerfield-Beach-FL-33442/60723793_lid
"Saddlebrook Ln, Weston, FL 33331","$3,593,183",Estimated Market Value,$7120/m,Single-Family,5,6,6636, 112%,https://www.foreclosure.com/address/Saddlebrook-Ln-Weston-FL-33331/60723821_lid
"Tremont Ave, Lake Placid, FL 33852","$237,696",Estimated Market Value,$1151/m,Single-Family,2,2,1238, 123%,https://www.foreclosure.com/address/Tremont-Ave-Lake-Placid-FL-33852/60723849_lid
"Nw 39th Ct, Miami Gardens, FL 33054","$441,600",Estimated Market Value,$1540/m,Multi-Family,4,2,2028, 109%,https://www.foreclosure.com/address/Nw-39th-Ct-Miami-Gardens-FL-33054/60723884_lid
"Nw 132nd St, Miami, FL 33167","$390,545",Estimated Market Value,$1630/m,Single-Family,3,2,1192, 111%,https://www.foreclosure.com/address/Nw-132nd-St-Miami-FL-33167/60723886_lid
"Sw 145th Ave, Miami, FL 33184","$1,056,429",Estimated Market Value,$3320/m,Single-Family,5,5,3161, 115%,https://www.foreclosure.com/address/Sw-145th-Ave-Miami-FL-33184/60723899_lid
"Sw 62nd Ter, Miami, FL 33183","$421,987",Estimated Market Value,$1730/m,Townhome,3,2,1308, 107%,https://www.foreclosure.com/address/Sw-62nd-Ter-Miami-FL-33183/60723929_lid
"Saddle Creek Dr, Tampa, FL 33618","$319,130",Estimated Market Value,$1291/m,Single-Family,3,2,1221, 97%,https://www.foreclosure.com/address/Saddle-Creek-Dr-Tampa-FL-33618/60723943_lid
"S Miami Ave, Miami, FL 33129","$1,989,000",Estimated Market Value,$4320/m,Multi-Family,3,2,2368, 102%,https://www.foreclosure.com/address/S-Miami-Ave-Miami-FL-33129/60723948_lid
"Collins Ave # 10, Miami Beach, FL 33139",N/A,N/A,N/A,Condo,N/A,2,500,N/A,https://www.foreclosure.com/address/Collins-Ave--10-Miami-Beach-FL-33139/60723962_lid
"Hammock Pointe Cir, Clermont, FL 34711","$566,576",Estimated Market Value,$1920/m,Single-Family,5,4,2871, 104%,https://www.foreclosure.com/address/Hammock-Pointe-Cir-Clermont-FL-34711/60723976_lid
"Nw 31st St, Miami, FL 33142","$416,615",Estimated Market Value,$1600/m,Single-Family,2,1,1123, 110%,https://www.foreclosure.com/address/Nw-31st-St-Miami-FL-33142/60724086_lid
"Collins Ave Apt 15p, Miami Beach, FL 33140","$358,079",Estimated Market Value,$1570/m,Condo,N/A,1,546, 106%,https://www.foreclosure.com/address/Collins-Ave-Apt-15p-Miami-Beach-FL-33140/60724118_lid
"Ne 1st St, Homestead, FL 33033",N/A,N/A,N/A,Townhome,3,3,1565,N/A,https://www.foreclosure.com/address/Ne-1st-St-Homestead-FL-33033/60724126_lid
"Nw 47th Ave, Miami Gardens, FL 33055","$494,603",Estimated Market Value,$1620/m,Single-Family,2,2,1230, 122%,https://www.foreclosure.com/address/Nw-47th-Ave-Miami-Gardens-FL-33055/60724188_lid
"Sw 117th Ave Apt 9-204, Miami, FL 33175",N/A,N/A,N/A,Condo,2,2,982,N/A,https://www.foreclosure.com/address/Sw-117th-Ave-Apt-9-204-Miami-FL-33175/60724219_lid
"S Barbour St, Beverly Hills, FL 34465","$190,673",Estimated Market Value,$770/m,Single-Family,2,2,940, 147%,https://www.foreclosure.com/address/S-Barbour-St-Beverly-Hills-FL-34465/60724227_lid
"Nw 7th Ter # A1, Miami, FL 33172","$383,767",Estimated Market Value,$2090/m,Condo,3,2,1430, 123%,https://www.foreclosure.com/address/Nw-7th-Ter--A1-Miami-FL-33172/60724228_lid
"Brickell Key Dr Apt 206, Miami, FL 33131","$549,311",Estimated Market Value,$2300/m,Condo,1,2,780, 143%,https://www.foreclosure.com/address/Brickell-Key-Dr-Apt-206-Miami-FL-33131/60724243_lid
"Nw 189th Ter, Hialeah, FL 33018","$701,974",Estimated Market Value,$2400/m,Single-Family,3,2,1756, 115%,https://www.foreclosure.com/address/Nw-189th-Ter-Hialeah-FL-33018/60724254_lid
"Nw 87th Ter, Miami, FL 33147","$569,874",Estimated Market Value,$1700/m,Single-Family,4,2,1642, 118%,https://www.foreclosure.com/address/Nw-87th-Ter-Miami-FL-33147/60724273_lid
"Nw 46th Ave Apt 207, Lauderhill, FL 33313","$117,696",Estimated Market Value,$970/m,Condo,2,1,774, 142%,https://www.foreclosure.com/address/Nw-46th-Ave-Apt-207-Lauderhill-FL-33313/60724290_lid
"Sw 18th Ter, Miami, FL 33155","$550,668",Estimated Market Value,$1820/m,Single-Family,2,1,1180, 104%,https://www.foreclosure.com/address/Sw-18th-Ter-Miami-FL-33155/60724297_lid
"Nw 33rd Ave, Miami, FL 33147","$408,085",Estimated Market Value,$1378/m,Single-Family,3,1,975, 127%,https://www.foreclosure.com/address/Nw-33rd-Ave-Miami-FL-33147/60722975_lid
"Nw 56th Ave, Lauderhill, FL 33313","$407,399",Estimated Market Value,$1780/m,Single-Family,N/A,N/A,1794, 107%,https://www.foreclosure.com/address/Nw-56th-Ave-Lauderhill-FL-33313/60723037_lid
"Nw 121st St, North Miami, FL 33167","$309,888",Estimated Market Value,$1241/m,Single-Family,2,1,720, 118%,https://www.foreclosure.com/address/Nw-121st-St-North-Miami-FL-33167/60723082_lid
"Sw 109th Pl, Miami, FL 33157","$369,068",Estimated Market Value,$1398/m,Townhome,2,2,996, 123%,https://www.foreclosure.com/address/Sw-109th-Pl-Miami-FL-33157/60723187_lid
"Cherry St, Panama City, FL 32401","$253,728",Estimated Market Value,$1230/m,Single-Family,3,1,1373, 113%,https://www.foreclosure.com/address/Cherry-St-Panama-City-FL-32401/60723195_lid
"Howard St, Sebring, FL 33870","$69,360",Estimated Market Value,$940/m,Mobile,3,1.5,1056, 101%,https://www.foreclosure.com/address/Howard-St-Sebring-FL-33870/60723197_lid
"Sw 113th Psge, Homestead, FL 33032",N/A,N/A,N/A,Townhome,3,3,1535,N/A,https://www.foreclosure.com/address/Sw-113th-Psge-Homestead-FL-33032/60723191_lid
"Nw 7th St Apt 1109, Miami, FL 33126","$259,797",Estimated Market Value,$1560/m,Condo,2,2,1037, 117%,https://www.foreclosure.com/address/Nw-7th-St-Apt-1109-Miami-FL-33126/60723260_lid
"Buttermill Dr, Palm Coast, FL 32137","$397,683",Estimated Market Value,$1408/m,Single-Family,3,2,2420, 114%,https://www.foreclosure.com/address/Buttermill-Dr-Palm-Coast-FL-32137/60723270_lid
"Nw 6th St, Deerfield Beach, FL 33442","$576,337",Estimated Market Value,$2300/m,Single-Family,3,2,1912, 109%,https://www.foreclosure.com/address/Nw-6th-St-Deerfield-Beach-FL-33442/60723397_lid
"Sw 30th Ct # B, Miami, FL 33133","$1,300,930",Estimated Market Value,$3080/m,Condo,3,3,2300, 103%,https://www.foreclosure.com/address/Sw-30th-Ct--B-Miami-FL-33133/60723421_lid
"S Ocean Dr Apt 908, Hollywood, FL 33019","$528,317",Estimated Market Value,$2020/m,Condo,2,2,1200, 116%,https://www.foreclosure.com/address/S-Ocean-Dr-Apt-908-Hollywood-FL-33019/60723456_lid
"Nw 98th Ter, Miami, FL 33147","$477,046",Estimated Market Value,$1610/m,Single-Family,3,2,1514, 117%,https://www.foreclosure.com/address/Nw-98th-Ter-Miami-FL-33147/60723494_lid
"Nw 29th Ct, Margate, FL 33063","$501,198",Estimated Market Value,$2070/m,Single-Family,3,2,1534, 109%,https://www.foreclosure.com/address/Nw-29th-Ct-Margate-FL-33063/60723497_lid
"Sw 58th St, Miami, FL 33193","$533,790",Estimated Market Value,$1970/m,Single-Family,3,2,1371, 107%,https://www.foreclosure.com/address/Sw-58th-St-Miami-FL-33193/60723500_lid
"Seaboard Ave, Jacksonville, FL 32210","$270,727",Estimated Market Value,$1230/m,Single-Family,3,2,2450, 123%,https://www.foreclosure.com/address/Seaboard-Ave-Jacksonville-FL-32210/60723524_lid
"Loquat Rd Nw, Lake Placid, FL 33852","$323,300",Estimated Market Value,$1398/m,Single-Family,4,3,2077, 106%,https://www.foreclosure.com/address/Loquat-Rd-Nw-Lake-Placid-FL-33852/60723553_lid
"Nw 80th Ln, Doral, FL 33178",N/A,N/A,N/A,Townhome,4,3,2144,N/A,https://www.foreclosure.com/address/Nw-80th-Ln-Doral-FL-33178/60723632_lid
"Nw 43rd Ct, Oakland Park, FL 33309","$446,297",Estimated Market Value,$1970/m,Single-Family,2,1,1200, 110%,https://www.foreclosure.com/address/Nw-43rd-Ct-Oakland-Park-FL-33309/60723894_lid
"Hickory Ave, Panama City, FL 32405","$164,064",Estimated Market Value,$830/m,Single-Family,2,1,1056, 124%,https://www.foreclosure.com/address/Hickory-Ave-Panama-City-FL-32405/60723920_lid
"Nw 191st St, Hialeah, FL 33015","$673,162",Estimated Market Value,$2420/m,Townhome,4,3,2144, 121%,https://www.foreclosure.com/address/Nw-191st-St-Hialeah-FL-33015/60723921_lid
"S De Soto St, Tampa, FL 33616",N/A,N/A,N/A,Single-Family,2,2,1464,N/A,https://www.foreclosure.com/address/S-De-Soto-St-Tampa-FL-33616/60723870_lid
"Nw 25th St, Sunrise, FL 33313","$394,596",Estimated Market Value,$1480/m,Single-Family,2,2,1282, 111%,https://www.foreclosure.com/address/Nw-25th-St-Sunrise-FL-33313/60723956_lid
"Biscayne Blvd Apt 1402, Miami, FL 33132","$1,060,067",Estimated Market Value,$3400/m,Condo,3,2,1789, 114%,https://www.foreclosure.com/address/Biscayne-Blvd-Apt-1402-Miami-FL-33132/60723986_lid
"Hillcrest Dr Apt 917, Hollywood, FL 33021","$199,136",Estimated Market Value,$1370/m,Condo,2,2,1132, 113%,https://www.foreclosure.com/address/Hillcrest-Dr-Apt-917-Hollywood-FL-33021/60724096_lid
"Nw 180th Ter, Miami Gardens, FL 33055","$675,701",Estimated Market Value,$2090/m,Single-Family,3,3,2288, 102%,https://www.foreclosure.com/address/Nw-180th-Ter-Miami-Gardens-FL-33055/60724154_lid
"Nw 8th St Apt 103, Miami, FL 33126","$285,120",Estimated Market Value,$1500/m,Condo,2,2,1030, 117%,https://www.foreclosure.com/address/Nw-8th-St-Apt-103-Miami-FL-33126/60724176_lid
